rid,date_of_service,location,planned_arrival_time,planned_departure_time,actual_arrival_time,actual_departure_time,late_canc_reason
202201017036039,01/01/2022,NRW,,05:00,,04:59,
202201017036039,01/01/2022,DIS,05:16,05:17,05:15,05:17,
202201017036039,01/01/2022,SMK,05:28,05:29,05:27,05:28,
202201017036039,01/01/2022,IPS,05:40,05:41,05:38,05:40,
202201017036039,01/01/2022,MNG,05:50,05:51,05:49,05:51,
202201017036039,01/01/2022,COL,05:59,06:00,05:57,05:58,
202201017036039,01/01/2022,CHM,06:17,06:19,06:14,06:18,
202201017036039,01/01/2022,SRA,06:49,,06:48,,
202201017036039,01/01/2022,LST,07:00,,06:58,,
202201017036042,01/01/2022,NRW,,06:00,,06:00,
202201017036042,01/01/2022,DIS,06:16,06:17,06:16,06:17,
202201017036042,01/01/2022,SMK,06:28,06:29,06:29,06:29,
202201017036042,01/01/2022,IPS,06:40,06:41,06:39,06:40,
202201017036042,01/01/2022,MNG,06:50,06:51,06:49,06:50,
202201017036042,01/01/2022,COL,06:59,07:00,06:57,06:58,
202201017036042,01/01/2022,CHM,07:17,07:19,07:14,07:18,
202201017036042,01/01/2022,SRA,07:49,,07:48,,
202201017036042,01/01/2022,LST,08:00,,07:57,,
202201017036045,01/01/2022,NRW,,07:00,,07:00,
202201017036045,01/01/2022,DIS,07:16,07:17,07:16,07:18,
202201017036045,01/01/2022,SMK,07:28,07:29,07:28,07:29,
202201017036045,01/01/2022,IPS,07:40,07:41,07:38,07:41,
202201017036045,01/01/2022,MNG,07:50,07:51,07:49,07:51,
202201017036045,01/01/2022,COL,07:59,08:00,07:58,07:59,
202201017036045,01/01/2022,CHM,08:17,08:19,08:14,08:18,
202201017036045,01/01/2022,SRA,08:49,,08:48,,
202201017036045,01/01/2022,LST,09:00,,08:58,,
202201017036047,01/01/2022,NRW,,08:00,,07:59,
202201017036047,01/01/2022,DIS,08:16,08:17,08:16,08:17,
202201017036047,01/01/2022,SMK,08:28,08:29,08:28,08:28,
202201017036047,01/01/2022,IPS,08:40,08:41,08:38,08:40,
202201017036047,01/01/2022,MNG,08:50,08:51,08:49,08:51,
202201017036047,01/01/2022,COL,08:59,09:00,08:57,08:59,
202201017036047,01/01/2022,CHM,09:17,09:19,09:15,09:18,
202201017036047,01/01/2022,SRA,09:49,,09:48,,
202201017036047,01/01/2022,LST,10:00,,09:57,,
202201017036049,01/01/2022,NRW,,08:25,,08:24,
202201017036049,01/01/2022,DIS,08:41,08:42,08:40,08:42,
202201017036049,01/01/2022,SMK,08:53,08:54,08:52,08:53,
202201017036049,01/01/2022,IPS,09:05,09:06,09:03,09:05,
202201017036049,01/01/2022,COL,09:21,09:22,09:19,09:21,
202201017036049,01/01/2022,CHM,09:39,09:41,09:37,09:40,
202201017036049,01/01/2022,SNF,09:51,09:52,09:49,09:51,
202201017036049,01/01/2022,LST,10:18,,10:16,,
202201017036051,01/01/2022,NRW,,09:00,,09:00,
202201017036051,01/01/2022,DIS,09:16,09:17,09:16,09:17,
202201017036051,01/01/2022,SMK,09:28,09:29,09:28,09:28,
202201017036051,01/01/2022,IPS,09:40,09:41,09:38,09:40,
202201017036051,01/01/2022,MNG,09:50,09:51,09:49,09:51,
202201017036051,01/01/2022,COL,09:59,10:00,09:58,09:59,
202201017036051,01/01/2022,CHM,10:17,10:19,10:15,10:19,
202201017036051,01/01/2022,SRA,10:49,,10:48,,
202201017036051,01/01/2022,LST,11:00,,10:57,,
202201017036053,01/01/2022,NRW,,10:00,,10:00,
202201017036053,01/01/2022,DIS,10:16,10:17,10:15,10:17,
202201017036053,01/01/2022,SMK,10:28,10:29,10:27,10:28,
202201017036053,01/01/2022,IPS,10:40,10:41,10:38,10:41,
202201017036053,01/01/2022,MNG,10:50,10:51,10:49,10:51,
202201017036053,01/01/2022,COL,10:59,11:00,10:58,10:59,
202201017036053,01/01/2022,CHM,11:17,11:19,11:16,11:19,
202201017036053,01/01/2022,SRA,11:49,,11:48,,
202201017036053,01/01/2022,LST,12:00,,11:57,,
202201017036055,01/01/2022,NRW,,11:00,,10:59,
202201017036055,01/01/2022,DIS,11:16,11:17,11:15,11:17,
202201017036055,01/01/2022,SMK,11:28,11:29,11:27,11:28,
202201017036055,01/01/2022,IPS,11:40,11:41,11:39,11:40,
202201017036055,01/01/2022,MNG,11:50,11:51,11:49,11:51,
202201017036055,01/01/2022,COL,11:59,12:00,11:57,11:59,
202201017036055,01/01/2022,CHM,12:17,12:19,12:15,12:18,
202201017036055,01/01/2022,SRA,12:49,,12:42,,
202201017036055,01/01/2022,LST,13:00,,12:50,,
202201017036057,01/01/2022,NRW,,12:00,,12:00,
202201017036057,01/01/2022,DIS,12:16,12:17,12:15,12:17,
202201017036057,01/01/2022,SMK,12:28,12:29,12:27,12:28,
202201017036057,01/01/2022,IPS,12:40,12:41,12:38,12:40,
202201017036057,01/01/2022,MNG,12:50,12:51,12:49,12:51,
202201017036057,01/01/2022,COL,12:59,13:00,12:57,12:59,
202201017036057,01/01/2022,CHM,13:17,13:19,13:15,13:19,
202201017036057,01/01/2022,SRA,13:49,,13:48,,
202201017036057,01/01/2022,LST,14:00,,13:58,,
202201017036059,01/01/2022,NRW,,13:00,,13:00,
202201017036059,01/01/2022,DIS,13:16,13:17,13:15,13:17,
202201017036059,01/01/2022,SMK,13:28,13:29,13:27,13:28,
202201017036059,01/01/2022,IPS,13:40,13:41,13:39,13:40,
202201017036059,01/01/2022,MNG,13:50,13:51,13:49,13:51,
202201017036059,01/01/2022,COL,13:59,14:00,13:57,13:59,
202201017036059,01/01/2022,CHM,14:17,14:19,14:15,14:18,
202201017036059,01/01/2022,SRA,14:49,,14:48,,
202201017036059,01/01/2022,LST,15:00,,14:58,,
202201017036061,01/01/2022,NRW,,14:00,,14:00,
202201017036061,01/01/2022,DIS,14:16,14:17,14:16,14:17,
202201017036061,01/01/2022,SMK,14:28,14:29,14:27,14:28,
202201017036061,01/01/2022,IPS,14:40,14:41,14:38,14:40,
202201017036061,01/01/2022,MNG,14:50,14:51,14:49,14:51,
202201017036061,01/01/2022,COL,14:59,15:00,14:57,14:59,
202201017036061,01/01/2022,CHM,15:17,15:19,15:15,15:18,
202201017036061,01/01/2022,SRA,15:49,,15:47,,
202201017036061,01/01/2022,LST,16:00,,15:56,,
202201017036063,01/01/2022,NRW,,15:00,,15:00,
202201017036063,01/01/2022,DIS,15:16,15:17,15:16,15:17,
202201017036063,01/01/2022,SMK,15:28,15:29,15:28,15:28,
202201017036063,01/01/2022,IPS,15:40,15:41,15:39,15:40,
202201017036063,01/01/2022,MNG,15:50,15:51,15:49,15:51,
202201017036063,01/01/2022,COL,15:59,16:00,15:59,15:59,
202201017036063,01/01/2022,CHM,16:17,16:19,16:15,16:19,
202201017036063,01/01/2022,SRA,16:49,,16:48,,
202201017036063,01/01/2022,LST,17:00,,16:57,,
202201017036064,01/01/2022,NRW,,15:23,,15:23,
202201017036064,01/01/2022,DIS,15:39,15:40,15:39,15:40,
202201017036064,01/01/2022,SMK,15:51,15:52,15:51,15:51,
202201017036064,01/01/2022,IPS,16:04,16:05,16:02,16:04,
202201017036064,01/01/2022,COL,16:20,16:22,16:18,16:21,
202201017036064,01/01/2022,CHM,16:39,16:41,16:37,16:40,
202201017036064,01/01/2022,SNF,16:51,16:54,16:49,16:53,
202201017036064,01/01/2022,SRA,17:10,,17:09,,
202201017036064,01/01/2022,LST,17:20,,17:18,,
202201017036066,01/01/2022,NRW,,16:00,,15:59,
202201017036066,01/01/2022,DIS,16:16,16:17,16:15,16:17,
202201017036066,01/01/2022,SMK,16:28,16:29,16:27,16:28,
202201017036066,01/01/2022,IPS,16:40,16:41,16:39,16:40,
202201017036066,01/01/2022,MNG,16:50,16:51,16:49,16:51,
202201017036066,01/01/2022,COL,16:59,17:00,16:58,16:59,
202201017036066,01/01/2022,CHM,17:17,17:19,17:16,17:18,
202201017036066,01/01/2022,SRA,17:49,,17:47,,
202201017036066,01/01/2022,LST,18:00,,17:57,,
202201017036067,01/01/2022,NRW,,16:23,,16:23,
202201017036067,01/01/2022,DIS,16:39,16:40,16:40,16:40,
202201017036067,01/01/2022,SMK,16:51,16:52,16:51,16:51,
202201017036067,01/01/2022,IPS,17:03,17:05,17:02,17:04,
202201017036067,01/01/2022,COL,17:20,17:22,17:19,17:21,
202201017036067,01/01/2022,CHM,17:39,17:41,17:37,17:41,
202201017036067,01/01/2022,SNF,17:51,17:54,17:49,17:54,
202201017036067,01/01/2022,SRA,18:10,,18:09,,
202201017036067,01/01/2022,LST,18:20,,18:17,,
202201017036069,01/01/2022,NRW,,17:00,,16:59,
202201017036069,01/01/2022,DIS,17:16,17:17,17:15,17:17,
202201017036069,01/01/2022,SMK,17:28,17:29,17:27,17:28,
202201017036069,01/01/2022,IPS,17:40,17:41,17:39,17:41,
202201017036069,01/01/2022,MNG,17:50,17:51,17:50,17:51,
202201017036069,01/01/2022,COL,17:59,18:00,17:58,17:58,
202201017036069,01/01/2022,CHM,18:17,18:19,18:16,18:18,
202201017036069,01/01/2022,SRA,18:49,,18:48,,
202201017036069,01/01/2022,LST,19:00,,18:58,,
202201017036072,01/01/2022,NRW,,18:00,,17:59,
202201017036072,01/01/2022,DIS,18:16,18:17,18:15,18:17,
202201017036072,01/01/2022,SMK,18:28,18:29,18:28,18:28,
202201017036072,01/01/2022,IPS,18:40,18:41,18:39,18:40,
202201017036072,01/01/2022,MNG,18:50,18:51,18:49,18:51,
202201017036072,01/01/2022,COL,18:59,19:00,18:58,18:59,
