rid,date_of_service,location,planned_arrival_time,planned_departure_time,actual_arrival_time,actual_departure_time,late_canc_reason,late_canc_reason
202401027619247,02/01/2024,NRW,,05:05,,05:05,,
202401027619247,02/01/2024,DIS,05:21,05:22,05:21,05:22,,
202401027619247,02/01/2024,SMK,05:33,05:34,05:33,05:33,,
202401027619247,02/01/2024,IPS,05:45,05:46,05:43,05:45,,
202401027619247,02/01/2024,MNG,05:55,05:56,05:54,05:56,,
202401027619247,02/01/2024,COL,06:04,06:06,06:03,06:05,,
202401027619247,02/01/2024,SRA,06:45,,06:45,,,
202401027619247,02/01/2024,LST,06:54,,06:54,,,
202401027619249,02/01/2024,NRW,,05:30,,05:30,,
202401027619249,02/01/2024,DIS,05:46,05:47,05:46,05:47,,
202401027619249,02/01/2024,SMK,05:58,05:59,05:57,05:58,,
202401027619249,02/01/2024,IPS,06:10,06:11,06:08,06:10,,
202401027619249,02/01/2024,MNG,06:19,06:20,06:19,06:20,,
202401027619249,02/01/2024,COL,06:29,06:30,06:27,06:29,,
202401027619249,02/01/2024,SRA,07:12,,07:11,,,
202401027619249,02/01/2024,LST,07:22,,07:20,,,
202401027619251,02/01/2024,NRW,,06:04,,06:04,,
202401027619251,02/01/2024,DIS,06:20,06:21,06:19,06:21,,
202401027619251,02/01/2024,SMK,06:32,06:33,06:31,06:32,,
202401027619251,02/01/2024,IPS,06:44,06:45,06:42,06:45,,
202401027619251,02/01/2024,MNG,06:54,06:55,06:53,06:55,,
202401027619251,02/01/2024,COL,07:03,07:05,07:01,07:04,,
202401027619251,02/01/2024,SRA,07:47,,07:46,,,
202401027619251,02/01/2024,LST,07:58,,07:54,,,
202401027619253,02/01/2024,NRW,,06:28,,06:28,,
202401027619253,02/01/2024,DIS,06:44,06:45,06:44,06:45,,
202401027619253,02/01/2024,SMK,06:56,06:57,06:55,06:56,,
202401027619253,02/01/2024,IPS,07:08,07:09,07:06,07:08,,
